SNO,TWEET_TEXT,label_ps
35535,What's a girl gotta do to get some  gas around here ??,1
35540,Lowkey hoping these gas stations stop restocking gas so i dont have to work and i can use my full tank to get the fuck out of here,1
35649,I just witnessed 2 old ladies fighting over a gas pump.... Irma is bring the savage out of everyone.,1
35665,Got to class and it was cancelled ?? I can't be wasting gas like that,1
35668,@__adnileb @drexgg there's still gas in the gas station of 25th and Edwards i just filled up,1
35690,When your girl drives you everywhere so there's no need to put gas in ur car ??,0
35958,I gotta get gasssss took?????????????,0
36020,I gotta get gassss toooo?????????????,0
36110,I drove around for an hour looking for gas??,1
36121,I have to drive to Georgia for gas ??,1
36276,"Cant find a gas station that isnt packed right now, gonna just uber everywhere fuck it.",1
36324,I'm on laughing gas doing hurricane prep heheheh,0
36358,Perk of living in the middle of nowhere: our gas station hasn't ran out of gas???????,0
36360,I'm really stuck at a gas station till they refill they shit wit gas I'm annoyed and hot af.,1
36447,La gasolinera mobil de la 68st 24 ave de hialeah no quiere abrir el servicio teniendo la gasolinera llena @MayorHialeah @cityofhialeah,0
36473,Well the hurricane is hitting Miami so that makes sense but dique Orlando to run out of gas? Smh https://t.co/9SKb84fGcN,1
36595,yall really need to pray for us we got no water or gas wtf,1
36713,Uh yeah so I just spent $60 on gas and the hurricane just shifted north of Florida and now I'm PISSSSED,0
36714,I'm going to waste the gas I get driving back from Kissimmee... https://t.co/62GMkUn3mn,0
36856,Trapped in the hurricane path here in S Florida and everyone's out of gas. Great. How's everyone else's day going?,1
36857,"you think Ima wait in that long ass gas line ? I definitely am, got moves to make",1
36915,Costco in #Lantana has gas still... 15 minute wait. #WestPalmBeach @SuzanneBoyd,1
36919,Gas running out down here; long lines at gas stations; the ones that r still open... https://t.co/0MnTm6AGP4,1
36924,If you see a long ass line why must you take 10 years at the gas pump ???????,1
36974,These gas lines outta there ??,1
37196,Only unleaded gas available at the Gate station on Magnolia Drive in Tallahassee. https://t.co/a5KQuKG3wp,1
37281,"Just waited in my first gas line since since the 70's with my parents. Father shouts, """"""""Don't make me pull this car over!""""""""
#HurricaineIrma",1
37408,Okay but dead ass I didn't think much of this hurricane until right now. My flights prob gettin cancelled and there's no gas &amp; supplies left,1
37558,La gasolinera mobil de la 68st 24 ave de hialeah no quiere abrir el servicio @MayorHialeah @cityofhialeah,0
37790,How do they expect motherfuckers to evacuate when the same gas prices are just increasing out the roof.,1
38033,I got a full tank of that gas ??,0
38267,@Stevy1994 I had to drive 30 minutes away n wait in line to get gas it was insane ??,1
38293,"God is good. I paid $2.39 for gas, thanks to Shells and #TmobileTuesdays",0
38361,I have a full tank of gas. Water. Batteries. Snacks. Real food. Even a battery radio. I'm done prepping. #HurricaneIrma,0
38377,"No gas, no water #HurricaineIrma",1
38783,If you need gas and live in fort Myers Shell and circle K on summerlin and John Morris Rd still has gas.,1
38868,"I can't make the trip up to Gainesville to work this weekend because there is no gas available, no idea when the highways will be driveable",1
38911,@weatherchannel any truth to the reports of gas shortages in South Florida? #hurricaneirma2017,1
39314,shoutout to the real mvp @gabsters_lopez for being on ft with me the whole hour I waited in line for gas????,1
39395,Who's got guest list for the gas stations?,0
39504,Forsure not putting gas.. ???????,0
39604,Does putting your car in neutral save gas? #askingforafriend,0
39665,@_mixedprincesss i been telling niggas to prepare since saturday so now they gotta pay gas prices,0
39749,"Disgusting price gauging at the Marathon gas station on Glades Road in Boca Raton, selling cases of water for $50 each. #irmageddon",0
40174,Ok these gas station lines are no fucking joke. If you have not filled up today you NEED to soon. Gas will be closed by tomorrow noon.,1
40211,"The only gas station with gas in seemingly all of Jax is right next to Nease HS, aka where @TimTebow played. Thank you, Tim Tebow.",1
40797,Just wasted 20 miles trying to find fucking gas... and guess what? STILL NO GAS.,1
40824,"Is there gas at any gas station around Coral Springs, Coconut Creek, Pompano?",0
40847,"If your local gas station is out of fuel, @MayorGimenez urges patience. More gas is coming. @nbc6 #Irma #stormprep",1
41397,"7/11 on Daniels and Metro has gas, and Publix on Daniels and International Dr is getting more water later today!",1
41406,half of our gas stations are already out of gas. ppl trynna get outta here https://t.co/XZDlgdIFHR,1
41564,7/11 to right by my house. everything's either full w ppl getting gas or empty https://t.co/EatfSKQbPI,1
41591,i got my water/gas/few essentials but it just hit me that i can potentially be dead by this weekend ?? .. can't sleep on the hurricane,0
41685,At least we're about to get gas https://t.co/dtffb2NL2U,1
41807,$3.99 for some gas? Cool... https://t.co/MppDbeIaQU,1
41984,SOS does anyone know gas stations that actually HAVE GAS,1
42275,ya'll stocking up on water and gas and shit.... but ya'll stock up on more important essentials like alcohol and weed?... your welcome,0
42439,"i just tried to get gas just in case i gotta dip, &amp;&amp; there's no gas at any gas station",1
42511,"Currently waiting in a gas line ??????????????
#freshcut #HurricaineIrma #Florida https://t.co/fKKY540NGQ",1
42578,Stopped at a 7-Eleven they were out of gas. Marathon where I filled up later was out of anything over 87 octane. #BrowardCounty #Irma,1
42627,Waste my half of tank looking for gas or just stick with what's left?,1
42672,"We'll have to leave...it took me 1hr n 43 minutes to get gas this morn... ????. 
#HurricaineIrma ???? https://t.co/e0RFbBUaIz",1
42678,I know Ima bust a big mission putting gas today ??,1
42684,I got off early today but by the time I get gas it will be 4 pm lol,1
42808,The storm isn't for another 3 days and every gas station damn near outta gas,1
42833,My dumb ass thought it was okay to be on E till next time I got gas now every bitch is outta gas,1
42889,.@Chevron station in North Miami Beach Charging $3.67 a gallon for gas ahead of #HurricaneIrma @wsvn @AGPamBondi https://t.co/iDTZypH1iZ,1
42903,Fuck it every person in front of me at the gas station I'll challenge 1 on 1 in basketball to cut in front of them,1
42938,Can I please just put gas ????,0
43079,"No gas, water, or food!!!! yeah UCF keep school going, we'll all do fine",1
43244,Chevron on US 41 and Vanderbilt Beach has gas @ndn,1
43365,You know some people are actually trying to get gas to get to work..,1
43504,"I've probably burnt more gas, looking for gas.",1
43528,So Valdosta is out of gas and my car is on E?????????,1
43580,Where the gas @@@@@,1
43673,People are like really out here getting all this gas and the hurricane isn't even here yet,1
43692,Been in line for gas for over an hour and still nowhere near the front ??,1
43707,"If y'all haven't got gas yet go at 11pm, there's no lines",1
43756,Getting gas will be the death of me,1
43834,"@ItMeCoop all the bad guys can safely evacuate Coop. roads wide open here, only traffic is at gas stations.",1
43938,"These gas stations is packedd, glad my car damn near full ????",1
43957,"Hello, inflated gas prices. The prices are the same as Chicago! #vacation #neverleft",1
44014,No gas but a lot of water at PAFB. #HurricaneIrma,1
44029,"Everything is a fucking coincidence ? Irma, other storms, gas prices, chaos, DACA, that's the fucking corrupt government smh all at once ?",1
44070,My job got me waisting gas to sell nobody nothing like no ones coming in,0
44094,Thank you every selfish asshole in lando lakes that has emptied every single gas station. How am I supposed to get to work on empty?,1
44522,Everyone getting gas before the hurricane https://t.co/MmLHMbQDO3,1
44523,Just got rekt by about 66 ants. If I can find gas in town im coming back to light their hill on fire.,1
44570,Evacuate they say but 2 out of 3 stations have no gas stock up but water batteries bread meats gone typical s florida cluster dance,1
44612,Went to get get gas last night and the only premium gas was available ??,1
44676,"#hurricaneirma #Miami evacuate ASAP but there's no gas &amp; water @ Miami, Florida https://t.co/tN7Of0piCJ",1
44677,Just tryna get gas but every gas station is out of gas already ??????,1
44873,@FLGovScott Shell gas Station n Circle K have no gas here in Homestead by AFRB,1
45154,I hope by Friday everyone been done got gas so I won't have to deal with the wait ?????? it's ridiculous Ian with it,1
45169,no one felt the need to show me this while i'm running around town chugging water bottles and wasting gas!!!! https://t.co/SDBEdm4l9B,0
45183,@djwilliams__ Might as well get ready to suck gas out of other peopl tank ??,1
45199,Oh but y'all thought I was looking when I said I had been to 8 gas stations yesterday..,1
45254,We are constantly topping off our  gas but wth we still have to drive for the next three days ??????,0
45321,Shooting at the gas station on Columbia in Kissimmee next to my moms work over gas,0
45377,"@skinkyL0u Thank you very much! I appreciate it. I'm fine. Got food, water and gas ??",0
45685,Officials keep saying no gas shortage - ports still open... but the lines for gas are CRAZY all over.,0
46060,"everyone being affected by Hurricane Irma, stock up on water/food/gas! May god bless you &amp; keep you safe????",0
46076,Deadass people camping there cars at gas stations waiting for them to get more gas in....,1
46214,Literally left work to get gas ! Feel so relieved,0
46239,Just paid $3.29 for gas because everywhere is out of everything except premium ??,1
46280,Don't run gas powered generators inside the house. Carbon monoxide will kill you.,0
46291,Line for gas at SRQ Racetrac. They were out of it earlier this morning. #irmageddon https://t.co/eN7l9XEvYK,1
46326,School sent me home for being a few minutes late due to weather and traffic I can't control when all gas stations around me are empty. ??,1
46337,so many gas stations are running out of gas,1
46479,I haven't gotten gas yet.. I'm Buggin ????,1
46716,Incredible there's only one fucking gas station with gas by my house !,1
46762,@Alamo hey when I rent a car I expect the gas tank to be full.,0
46764,Looking for gas? Here's an excellent resource. Tells you which stations have gas ?? and which don't ??- https://t.co/qL7CKUeDUN @WPTV,1
46814,Y'all out buying water and gas when my ass shoulda jus got kayak and life jacket tbh.,1
46833,"Whether this hurricane hits or not , I still got my daddy to fill up my gas tank #winning",0
46911,"Residents of Florida...plz stop...yall buying up all the gas, water and everything else y'all can get your hands on",1
46967,Waited half an hour for gas and when we got to the pump it goes empty???? 42 cents of gas,1
46977,Filling the tank at Costco in lantana &amp; they just got a gas truck. https://t.co/DqXzkarBSs,1
46994,"25%? Im going into hour 2 now of looking for gas station that has ANY, no matter how long a line https://t.co/wrOAaGQJ7D",1
47020,"I was in the gas station, and a guy after he was done paying said """"""""happy hurricane""""""""",0
47198,First time my car takes $45 of gas. ??,0
47320,@IAMKINGPUMA lol yes I called every gas station and one said if you come now we have some .... I ran to my car lol,1
47428,People get so crazy in natural disasters like this. People would kill each other for gas or water???? So wild,1
47547,The port is empty so whatever gas u got now will have to do til after the hurricane,1
47740,Can't even get to Atlanta with no gas ??????????????,1
47916,Lines to get gas here are over 20 cars deep ??,1
48217,i paid over $3.20 a gallon for some gas today &amp; i was so shook like someone pls give me money???,1
48244,when tampa runs out of gas,1
48249,I currently feel like shit and I'm making this fucking line for gas ??,1
48501,Getting gas at 4 am was the best thing I did all week,1
48552,Time to try and find gas,1
48909,I'm run out of gas trying to find a gas station with gas,1
48983,People are freeking out about gas and all I need is enough to get me to work tomorrow,1
49014,This is the second hurricane where speedway is the only one with gas. Thanks @Speedway!,1
49141,saw @__rachelroberts on the side of the road waiting for some gas??????????????,1
49159,"Me gaste toda la plata,no me quedo nada??",0
49164,@ManchesterOrch I can't go to your concert tonight in Tampa because of traffic and gas prices pls help me!!!!,1
49285,I just saw gas for $9.99 here in Florida.,1
49336,My towns out of gas cuz of #IrmaHurricane and I saw some dudes selling gas at a table https://t.co/yHOUZRpOnA,1
49348,I can't find gas ??,1
49470,Is there an episode of Ned's declassified school survival guide about how to survive a cat5 hurricane alone w no water or money or gas,1
49526,Huge line for gas no line for diesel??,1
49532,not 1 single gas station in west palm beach has gas and i'm low key starting to freak out,1
49548,what gas stations still got gas ?,1
49686,"Why y'all are panicking about finding gas, I've just been going to Lakeland Airport to fill up. Thanks dad ??!",1
49692,"If you're in Boca looking for gas , hit up the chevron on Hillsboro and Millitary ??",1
49740,@Wawa have only premium gas,1
49770,"There is still gas here, Mobil on Lantana Rd and Military! @CBS12 #spreadtheword #hurricaneirma",1
49785,Finally got gas,1
49990,I'm not ready to make the line for gas,1
50116,"Hours long lines for gas. No food, water, ice, generators, plywood anywhere. Dude in front of me buying scratch off tickets. GTFO. 
#Irma",1
50155,just pumped gas so I'm gonna have to sweat it out with no a/c on while I wait my turn for sandbags,0
50228,@PeteTheSaint Maybe just pay it... you need the gas...i would,0
50476,We were about to leave to Texas but there's no gas to make it out ???????,1
50502,#hurricaneirma2017 go to the gas stations if you need water,0
50671,"New slogan: buy my art so I can pay for Pre-Irma Florida gas prices
.
.
.
#thanksIrma 
#linkinbio
#homedecorforthepoor 
#photography",1
50688,It's like paying for gas and tolls smh https://t.co/LZGac0PQnD,0
50722,"@SpceCoupeHuncho Get some gas, there's no more coming in after today",1
50765,"No bread, my batteries, no water, no candles, no flashlights and no gas.. pretty all I need to survive this damn hurricane!Thanks #Irma2017",1
50907,my car is gonna run out of gas just waiting in line????,1
50967,Everyone is complaining about gas prices while down here half of the gas stations are out of@gas????????,1
50993,There is a lot to report: from gas to water to duct tape to bread!! Gouging is illegal! https://t.co/GLUlD2M4VI,1
51200,Does anyone know a gas station where they have gas,1
51282,@BlkMambaforeal @lilloryyy that releases the MOST toxic gases into the air that destroys ozone layer. Back in the day it wasn't factories,0
51350,"@vcabs68 No flights out, all booked by now and gas running out to drive out lol. Gotta ride it out and hope for the best at this point",1
51394,@BlkMambaforeal @lilloryyy u basically had to hunt ur food. But factories release gases as it is.. Now a slaughterhouse?? Yikes,0
51528,If my car gonna get blowed away im not putting gas in this shit so they needa let me know,0
51556,Escasea la gasolina en #Miami  antes de #Irma @ActualidadRT https://t.co/tR2RYYP8OH,0
51600,Starting to wonder if some of the local weather people have stock in grocery stores and gas companies. Stop inciting a panic. #Irma,0
51626,Citgo at 301 and 17th in Sarasota has gas. #HurricaneIrma,1
51789,declared florida state of emergency but im still at work with no fucking water or gas..........................,0
51862,The joys of having a gas stove,0
51896,"Man is a good thing i got gas when i could, all gas stations around me are out of gas",1
51902,7/11 in winter haven does have regular gas people they are just trying to finesse us with that premium gas https://t.co/pH4laDcJGp,0
52087,To fill up my gas tank now while it's pouring or wait until it stops and risk having them run out of gas...,0
52126,"I'm all about being patient and making sure you're prepared while waiting for gas. Then, there is that dude with the boat. #Irma",0
52210,I just need gas !!!,0
52228,@lilloryyy @BlkMambaforeal that's only a factor!!! U know where the MOST heat trapping gasses come from? SLAUGHTERING ANIMALS,0
52404,Most gas stations east of Miami international airport have gas https://t.co/mvaoFVhA8P,1
52416,I just spent $52 on premium gas. 5 2 DOLLARS,1
52427,Wtf gas is crazy 45 use to fill my car  now it's 60 smh ?????,0
52480,Irma isn't even guaranteed to hit Florida yet all of the grocery stores are empty and the gas stations are dry people do not fuck around ????,1
52576,I never seen so much members of Costco bruh I just need gas,1
52619,Can't find water or gas anywhere ????,1
52724,@OfficialJoelF There's gas in service plaza 120 street turnpike,1
52767,"""""""""I'll give you gas money"""""""" THERE IS NO GAS ANYWHERE SO WHAT WOULD THAT HELP ME FOR ???????",1
52771,I filled my gas tank with $43,1
52776,@OfficialJoelF There's gas in service plaza 120th street turnpike!,1
52961,No gas in sight and I don't want waste the little gas I have left to see IF I can get some in a 2 hour line #hurricaneirma2017,1
53100,I just bought $30 of premium gasoline for the first time ever because of you panicking idiots,1
53181,"The Mobile station on Fruitville Road must have gas ?? , because people are lined all the way around.",1
53224,I did run into Brenden n alex in the gas line tho. We were holding it up lol,1
53291,Been in line for gas for 40 min now #hurricaneirma2017,1
53338,I live across the street from a gas station and I can hear people screaming @ each other from INSIDE my house,1
53557,Where can I get gas in Doral? https://t.co/OtBb34sVhN,1
53825,The fucking gas station is flooded already ????,1
53876,Using up my gas looking for gas smh,1
53910,Lots of gas stations out of gas. ?? #Miami #Irma,1
53989,These gas lines are no joke pisses me off,1
54097,@XxJCTheRipperxX ???? that's called gas gauging Im not trying to get reported but a very good idea brooo,1
54177,@TEKTMZ @tylermoore05 @JonBCPress Jon already got us some! Getting gas should be fun though,0
54265,Getting gas was the best feeling ever ????,0
54333,You can visit https://t.co/2U4e6izAkQ to track availability of #gasoline. #GCL #SWFL #HurricanePrep,1
54423,For anyone in the Atlantic Beach/Mayport area of Jacksonville the BJ's on Atlantic only has premium gas and is completely out of water.,1
54531,"Out of gas
Out of water
Gridlock on interstate
Not going anywhere",1
54534,Yay put gas,0
54709,I have food water and gas where I am.,0
54777,Thankfully Chris and I were able to get gas &amp; all the supplies we need. We also plan to evacuate to GA later in the week if needed ??,0
54932,Getting gas is harder than getting laid rn,1
55090,Even if u just think about it like all the gases we as humans have in our bodies.. Cut me open.. Where gasses going?,0
55100,literally almost fought a bitch over gas,1
55101,"@LiahSX @JordanB234 Colonial has gas , I went to the wawa",1
55206,There is literally no gas stations with gas! This is fucking nuts!!!,1
55233,Now make it a trillion of us getting cut open all over the world... Where those gasses going!!? Lol exactly. Basic common sense.,0
55236,Come pick up my car and put gas in it https://t.co/A9O82pALWD,0
55363,"Schools canceled, Walmart is out of water, gas stations have no gas. FLORIDA IS CANCELED YALL ??????????",1
55523,When it takes you over an hour just to get gas,1
55678,Why are y'all filling up y'all tanks? Using up all this gas just to park ya car back at ya house??????????,1
55962,When you're bored waiting in line for sandbags so you walkie talkie ur X you ran out of gas waiting for bags.,0
56035,"My brain can't function at work. I have to put up my shutters, I need gas, I'm in a flood zone, do I evacuate? My head hurts #DamnYouIrma",0
56048,@ShezNotThere Stay safe hunker down.  I have gas water beer chain saw generator and trucks.  Keep that in mind #orlando #hurricaneirma2017,0
56068,I hate gas prices right now,1
56083,Homestead needs gas ???????,1
56094,I was blessed to some how get this weekend off no hurricane madness for me at the gas station!! Hollllerrr,0
56203,Lmao if someone tries to skip me when I'm putting gas..... just know I'm going to jail because Ima be forced to kill them,1
56229,my gas tank just gone have to stay on E ???????,1
56260,If you don't get gas in Boynton you can blame the POS at Arts Plumbing https://t.co/3JM0W43A9U,1
56403,I skipped everyone in the gas line and an old lady got down to bitch at me y'all ain't playing ??????,1
56629,No gas stations in Miami have gas,1
56703,I just got the RUDEST message because I posted that our gas station had gas... https://t.co/kNMJkzfky8,1
56806,my tank on E and there's no gas anywhere fml,1
56834,"Use your dishwasher and fridge to water proof things. Photograph EVERYTHING.  Get gas, even if not going anywhere. #TBTIrma",0
56875,"PSA: Jacksonville is out of gas, and water, and bread. But there's plenty of beer!!!",1
57023,Hard to find gas but I love seeing people driving around in their obnoxious SUVs &amp; industrial sized pickup trucks.,1
57144,"Euro 12z shows it back offshore before it gets to JAX, but just barely, after gashing Key Largo up to Daytona-ish.",0
57523,If you need #gas in #StPete Circle K on 9th Ave N &amp; 28th St N has 3 pumps open. #Irma #StPetersburg Stay Safe!!,0
57534,"Bruh if we in a state of emergency and every gas station out of gas, TALKING TO HOLD UP EVERYONE IS NOT THE MOVE",1
57639,Just waited an hour and a half to get gas.. get to the pump and they only got premium left for $4.23 a gallon. https://t.co/uE4TpTKQXu,1
57757,All but 1 gas stations in Miami Beach are out of gas! ? ??,1
57874,These lines at the gas stations ??????,1
57996,It's endless gas stations out of gas what is life,1
58049,Everyone is lined up at @Publix and the gas station and I'm on my way to @Bloomingdales ?? I should be ashamed #Irma,1
58240,Everyone get your gas before the hurricane ????????,0
58341,So traffic all because of these fat ass lines for the gas station ??,1
58384,why tf is north florida running out of gas? y'all fuckers got a head start wtf,1
58472,@VallerySaid I just found a gas station on capital circle! Thank you ??,1
58483,"Like why are you pumping your gas yelling [AT NOBODY]!? Not """"""""thank the lawd I got some gas"""""""" yelling...just making noise ..smh f*ck you Irma",0
58565,@Jujjhar_Singh85 @lilloryyy slaughtering these animals at the rate that they do it+factories releases CO2 AND even worse gases into the atmo,0
58683,Now if I can just get a full tank of gas in my car...,0
58765,Most gas stations I've seen from #Miami south are out. Long lines at the remainder in advance of #Irma https://t.co/uu0huSsr2b,1
58781,Shame on @Enterprise for renting me a car with no gas. I know it's desperate times in Florida but come on. What am I sppoosed to do w no gas,0
58805,Shit spooky out here. Gas stations running out of gas. Water all that shit,1
58873,I'm so glad I got gas when I did ??,1
58917,Favorite gas station has run out. Waiting in line at another.,1
59050,Really happy I got gas last night. Every where I've seen today is out,1
59261,"It's a good thing I filled up my truck this morning , I've burnt a 1/4 tank of gas in this line and I'm not even 1/2 Way there #Sandbags",0
59287,@gasninjas are you all delivering in Miami tonight?  My app keeps crashing,0
59314,I've never spent so much money on gas ??,1
59342,right way still has gas if anyone needs any!!!!,1
59345,Gainesville is out of gas. #irmageddon,1
59555,we mite have to evacuate and all the gas stations are empty.. GREAT,1
59844,Who needs gas when you got #PeinateElectric @ Andy's Hair In the gables https://t.co/Jsz2xt4DC0,0
59936,"Yezenya Martinez, a Shell employee, trying to direct traffic at her gas station. """"""""It's been crazy,"""""""" she said. https://t.co/EE0l5CocBg",1
60089,Out of gas (at @RaceTrac in FL) https://t.co/MOYab7kXgS,1
60094,"Good thing my car keys got stolen, because I am not about paying for premium gas right now??",1
60149,"Flash foods in Callahan is out of unleaded and plus gas, why so serious Callahan?",0
60154,Lmk how I just got regular gas with no wait... must've done something good for this karma,1
60267,People going crazy for gas as if ya about to leave the state and shit but what if it gets flooded and you can't move your car ??? ??????,1
60566,shoutout @Wawa for the most delicious and nutritious vegan option i've ever had from a gas station ?? https://t.co/PSDEzg7ZiO,0
60572,I was just offered a job at the gas station that orders my peace tea. That was nice :),0
